Sr. No.,Company Name,"Market capitalization as on March 28, 2024(In lakhs)",Rank,Symbol
1514,M K Proteins Limited,"36,974.14",1514,MKPL.NS
1515,Manaksia Steels Limited,"36,830.14",1515,MANAKSTEEL.NS
1516,Universus Photo Imagings Limited,"36,665.65",1516,UNIVPHOTO.NS
1517,Sheetal Cool Products Limited,"36,645.00",1517,SCPL.NS
1518,Sigma Solve Limited,"36,593.03",1518,SIGMA.NS
1519,IZMO Limited,"36,359.50",1519,IZMO.NS
1520,Sintercom India Limited,"36,322.96",1520,SINTERCOM.NS
1521,Foce India Limited,"36,207.65",1521,FOCE.NS
1522,Poddar Pigments Limited,"35,856.50",1522,PODDARMENT.NS
1523,Plaza Wires Limited,"35,657.94",1523,PLAZACABLE.NS
1524,DCM Nouvelle Limited,"35,506.40",1524,DCMNVL.NS
1525,Shyam Century Ferrous Limited,"35,432.89",1525,SHYAMCENT.NS
1526,Sakthi Sugars Limited,"35,417.01",1526,SAKHTISUG.NS
1527,Essen Speciality Films Limited,"35,395.63",1527,ESFL.NS
1528,Atmastco Limited,"35,185.10",1528,ATMASTCO.NS
1529,Jay Jalaram Technologies Limited,"35,159.67",1529,KORE.NS
1530,Lyka Labs Limited,"35,108.49",1530,LYKALABS.NS
1531,Star Paper Mills Limited,"35,040.75",1531,STARPAPER.NS
1532,SRG Housing Finance Limited,"34,794.50",1532,SRGHFL.NS
1533,Hindustan Motors Limited,"34,637.44",1533,HINDMOTORS.NS
1534,Ponni Sugars (Erode) Limited,"34,569.94",1534,PONNIERODE.NS
1535,Ashima Limited,"34,498.81",1535,ASHIMASYN.NS
1536,Kothari Products Limited,"34,335.37",1536,KOTHARIPRO.NS
1537,Gokul Refoils and Solvent Limited,"34,202.77",1537,GOKUL.NS
1538,Hitech Corporation Limited,"34,076.59",1538,HITECHCORP.NS
1539,Digikore Studios Limited,"34,016.64",1539,DIGIKORE.NS
1540,KN Agri Resources Limited,"33,998.52",1540,KNAGRI.NS
1541,Uravi T and Wedge Lamps Limited,"33,968.00",1541,URAVI.NS
1542,Addictive Learning Technology Limited,"33,704.77",1542,LAWSIKHO.NS
1543,Goldstar Power Limited,"33,698.70",1543,GOLDSTAR.NS
1544,Thaai Casting Limited,"33,607.31",1544,TCL.NS
1545,Ruchira Papers Limited,"33,411.46",1545,RUCHIRA.NS
1546,Mahindra EPC Irrigation Limited,"33,327.89",1546,MAHEPC.NS
1547,Proventus Agrocom Limited,"33,286.56",1547,PROV.NS
1548,Osia Hyper Retail Limited,"33,192.82",1548,OSIAHYPER.NS
1549,Mawana Sugars Limited,"33,171.10",1549,MAWANASUG.NS
1550,Robust Hotels Limited,"33,156.83",1550,RHL.NS
1551,Nath Bio-Genes (India) Limited,"33,076.46",1551,NATHBIOGEN.NS
1552,Euro India Fresh Foods Limited,"32,711.20",1552,EIFFL.NS
1553,Sar Televenture Limited,"32,145.00",1553,SARTELE.NS
1554,Vipul Limited,"32,095.85",1554,VIPULLTD.NS
1555,Integra Essentia Limited,"31,992.31",1555,ESSENTIA.NS
1556,Mangalam Worldwide Limited,"31,973.38",1556,MWL.NS
1557,UCAL LIMITED,"31,954.19",1557,UCAL.NS
1558,Pasupati Acrylon Limited,"31,909.66",1558,PASUPTAC.NS
1559,Drone Destination Limited,"31,869.45",1559,DRONE.NS
1560,Infinium Pharmachem Limited,"31,867.91",1560,INFINIUM.NS
1561,Coastal Corporation Limited,"31,864.14",1561,COASTCORP.NS
1562,Mos Utility Limited,"31,767.94",1562,MOS.NS
1563,Bhartiya International Limited,"31,756.68",1563,BIL.NS
1564,Indian Terrain Fashions Limited,"31,557.83",1564,INDTERRAIN.NS
1565,Aries Agro Limited,"31,496.51",1565,ARIES.NS
1566,Shree Rama Multi-Tech Limited,"31,431.72",1566,SHREERAMA.NS
1567,Dynemic Products Limited,"31,333.95",1567,DYNPRO.NS
1568,Shera Energy Limited,"31,231.43",1568,SHERA.NS
1569,Mahalaxmi Rubtech Limited,"30,920.93",1569,MHLXMIRU.NS
1570,NDL Ventures Limited,"30,910.55",1570,NDLVENTURE.NS
1571,GP Petroleums Limited,"30,769.08",1571,GULFPETRO.NS
1572,Take Solutions Limited,"30,696.31",1572,TAKE.NS
1573,Equippp Social Impact Technologies Limited,"30,567.73",1573,EQUIPPP.NS
1574,Sarthak Metals Limited,"30,521.30",1574,SMLT.NS
1575,Harrisons  Malayalam Limited,"30,432.96",1575,HARRMALAYA.NS
1576,Uma Exports Limited,"30,411.94",1576,UMAEXPORTS.NS
1577,Lancor Holdings Limited,"30,375.00",1577,LANCORHOL.NS
1578,P. E. Analytics Limited,"30,136.05",1578,PROPEQUITY.NS
1579,Softtech Engineers Limited,"30,077.05",1579,SOFTTECH.NS
1580,Manomay Tex India Limited,"30,024.07",1580,MANOMAY.NS
1581,Rudrabhishek Enterprises Limited,"29,855.11",1581,REPL.NS
1582,Rana Sugars Limited,"29,792.16",1582,RANASUG.NS
1583,Newjaisa Technologies Limited,"29,753.62",1583,NEWJAISA.NS
1584,Shreyans Industries Limited,"29,398.86",1584,SHREYANIND.NS
1585,IL&FS Investment Managers Limited,"29,362.06",1585,IVC.NS
1586,Raj Television Network Limited,"29,279.13",1586,RAJTV.NS
1587,VIP Clothing Limited,"29,239.17",1587,VIPCLOTHNG.NS
1588,A B Infrabuild Limited,"29,183.52",1588,ABINFRA.NS
1589,Tips Films Limited,"29,153.54",1589,TIPSFILMS.NS
1590,South West Pinnacle Exploration Limited,"29,060.35",1590,SOUTHWEST.NS
1591,Aban Offshore Limited,"29,036.75",1591,ABAN.NS
1592,Airan Limited,"29,004.64",1592,AIRAN.NS
1593,Supreme Power Equipment Limited,"29,002.21",1593,SUPREMEPWR.NS
1594,Virinchi Limited,"28,846.52",1594,VIRINCHI.NS
1595,Goyal Salt Limited,"28,729.90",1595,GOYALSALT.NS
1596,Trigyn Technologies Limited,"28,723.09",1596,TRIGYN.NS
1597,Emkay Global Financial Services Limited,"28,517.85",1597,EMKAY.NS
1598,Indo Thai Securities Limited,"28,495.00",1598,INDOTHAI.NS
1599,Rajnandini Metal Limited,"28,477.44",1599,RAJMET.NS
1600,Rama Phosphates Limited,"28,415.30",1600,RAMAPHO.NS
1601,Mangalam Global Enterprise Limited,"28,331.48",1601,MGEL.NS
1602,Lords Chloro Alkali Limited,"28,247.79",1602,LORDSCHLO.NS
1603,Swaraj Suiting Limited,"28,076.21",1603,SWARAJ.NS
1604,Rajshree Polypack Limited,"28,044.33",1604,RPPL.NS
1605,Almondz Global Securities Limited,"27,922.58",1605,ALMONDZ.NS
1606,Tembo Global Industries Limited,"27,903.71",1606,TEMBO.NS
1607,Zodiac Clothing Company Limited,"27,774.29",1607,ZODIACLOTH.NS
1608,Ascom Leasing & Investments Limited,"27,645.46",1608,ASCOM.NS
1609,PIL ITALICA LIFESTYLE LIMITED,"27,377.50",1609,PILITA.NS
1610,Aaron Industries Limited,"27,308.97",1610,AARON.NS
1611,Jayshree Tea & Industries Limited,"27,043.77",1611,JAYSREETEA.NS
1612,Krishca Strapping Solutions Limited,"26,867.82",1612,KRISHCA.NS
1613,Intense Technologies Limited,"26,858.50",1613,INTENTECH.NS
1614,Ruchi Infrastructure Limited,"26,790.99",1614,RUCHINFRA.NS
1615,Murudeshwar Ceramics Limited,"26,770.60",1615,MURUDCERA.NS
1616,DRC Systems India Limited,"26,758.12",1616,DRCSYSTEMS.NS
1617,Sundaram Brake Linings Limited,"26,735.44",1617,SUNDRMBRAK.NS
1618,Vishwaraj Sugar Industries Limited,"26,664.76",1618,VISHWARAJ.NS
1619,Udayshivakumar Infra Limited,"26,654.46",1619,USK.NS
1620,Hindcon Chemicals Limited,"26,644.72",1620,HINDCON.NS
1621,ShreeOswal Seeds And Chemicals Limited,"26,617.77",1621,OSWALSEEDS.NS
1622,Par Drugs And Chemicals Limited,"26,510.34",1622,PAR.NS
1623,Megastar Foods Limited,"26,444.78",1623,MEGASTAR.NS
1624,Zeal Global Services Limited,"26,273.45",1624,ZEAL.NS
1625,Bhagyanagar India Limited,"26,155.91",1625,BHAGYANGR.NS
1626,Konstelec Engineers Limited,"26,107.90",1626,KONSTELEC.NS
1627,Welspun Investments and Commercials Limited,"26,050.93",1627,WELINV.NS
1628,Maral Overseas Limited,"26,025.52",1628,MARALOVER.NS
1629,Magnum Ventures Limited,"25,998.31",1629,MAGNUM.NS
1630,Ginni Filaments Limited,"25,951.97",1630,GINNIFILA.NS
1631,Sadhav Shipping Limited,"25,863.42",1631,SADHAV.NS
1632,Tara Chand InfraLogistic Solutions Limited,"25,814.59",1632,TARACHAND.NS
1633,K.M.Sugar Mills Limited,"25,806.05",1633,KMSUGAR.NS
1634,Asian Hotels (North) Limited,"25,678.26",1634,ASIANHOTNR.NS
1635,Shree Vasu Logistics Limited,"25,569.18",1635,SVLL.NS
1636,Gujarat Apollo Industries Limited,"25,558.80",1636,GUJAPOLLO.NS
1637,Nureca Limited,"25,530.45",1637,NURECA.NS
1638,Starteck Finance Limited,"25,519.10",1638,STARTECK.NS
1639,Frog Cellsat Limited,"25,422.43",1639,FROG.NS
1640,Praxis Home Retail Limited,"25,419.29",1640,PRAXIS.NS
1641,Shree Karni Fabcom Limited,"25,363.73",1641,SHREEKARNI.NS
1642,Commercial Syn Bags Limited,"25,189.86",1642,COMSYN.NS
1643,A B Cotspin India Limited,"25,154.14",1643,ABCOTS.NS
1644,BGR Energy Systems Limited,"25,112.22",1644,BGRENERGY.NS
1645,RKEC Projects Limited,"25,058.18",1645,RKEC.NS
1646,Mcleod Russel India Limited,"24,964.92",1646,MCLEODRUSS.NS
1647,Chavda Infra Limited,"24,939.54",1647,CHAVDA.NS
1648,Loyal Textile Mills Limited,"24,785.43",1648,LOYALTEX.NS
1649,Kapston Services Limited,"24,584.13",1649,KAPSTON.NS
1650,Brooks Laboratories Limited,"24,566.95",1650,BROOKS.NS
1651,Thomas Scott (India) Limited,"24,544.79",1651,THOMASCOTT.NS
1652,Bannari Amman Spinning Mills Limited,"24,510.23",1652,BASML.NS
1653,Ravinder Heights Limited,"24,500.30",1653,RVHL.NS
1654,PPAP Automotive Limited,"24,451.00",1654,PPAP.NS
1655,DELPHI WORLD MONEY LIMITED,"24,342.26",1655,DELPHIFX.NS
1656,Elgi Rubber Company Limited,"24,324.30",1656,ELGIRUBCO.NS
1657,Sadbhav Infrastructure Project Limited,"24,303.54",1657,SADBHIN.NS
1658,Dc Infotech And Communication Limited,"23,998.00",1658,DCI.NS
1659,Anmol India Limited,"23,790.11",1659,ANMOL.NS
1660,A2Z Infra Engineering Limited,"23,776.18",1660,A2ZINFRA.NS
1661,Asian Hotels (East) Limited,"23,534.00",1661,AHLEAST.NS
1662,Veto Switchgears And Cables Limited,"23,482.72",1662,VETO.NS
1663,Mangalam Organics Limited,"23,333.82",1663,MANORG.NS
1664,Sah Polymers Limited,"23,113.22",1664,SAH.NS
1665,Rox Hi Tech Limited,"23,087.55",1665,ROXHITECH.NS
1666,Airo Lam limited,"23,028.07",1666,AIROLAM.NS
1667,Baid Finserv Limited,"22,752.94",1667,BAIDFIN.NS
1668,SEL Manufacturing Company Limited,"22,746.97",1668,SELMC.NS
1669,DRS Dilip Roadlines Limited,"22,744.23",1669,DRSDILIP.NS
1670,Texmo Pipes and Products Limited,"22,553.14",1670,TEXMOPIPES.NS
1671,T T Limited,"22,497.71",1671,TTL.NS
1672,GIR Natureview Resorts Limited,"22,472.06",1672,GIRRESORTS.NS
1673,Manaksia Coated Metals & Industries Limited,"22,429.25",1673,MANAKCOAT.NS
1674,Jullundur Motor Agency (Delhi) Limited,"22,407.07",1674,JMA.NS
1675,Cords Cable Industries Limited,"22,377.99",1675,CORDSCABLE.NS
1676,Dev Information Technology Limited,"22,355.48",1676,DEVIT.NS
1677,Iris Business Services Limited,"22,187.89",1677,IRIS.NS
1678,Crown Lifters Limited,"22,157.69",1678,CROWN.NS
1679,Rane Engine Valve Limited,"21,974.66",1679,RANEENGINE.NS
1680,Omax Autos Limited,"21,926.86",1680,OMAXAUTO.NS
1681,TREJHARA SOLUTIONS LIMITED,"21,890.58",1681,TREJHARA.NS
1682,Nila Spaces Limited,"21,860.85",1682,NILASPACES.NS
1683,The Byke Hospitality Ltd,"21,773.11",1683,BYKE.NS
1684,Modi Rubber Limited,"21,760.22",1684,MODIRUBBER.NS
1685,Anlon Technology Solutions Limited,"21,747.40",1685,ANLON.NS
1686,Priti International Limited,"21,725.86",1686,PRITI.NS
1687,Paragon Fine and Speciality Chemical Limited,"21,698.69",1687,PARAGON.NS
1688,North Eastern Carrying Corporation Limited,"21,662.12",1688,NECCLTD.NS
1689,Country Club Hospitality & Holidays Limited,"21,659.08",1689,CCHHL.NS
1690,Superhouse Limited,"21,647.59",1690,SUPERHOUSE.NS
1691,Shree Rama Newsprint Limited,"21,611.98",1691,RAMANEWS.NS
1692,Hilton Metal Forging Limited,"21,420.00",1692,HILTON.NS
1693,Naga Dhunseri Group Limited,"21,385.00",1693,NDGL.NS
1694,GSS Infotech Limited,"21,382.76",1694,GSS.NS
1695,LGB Forge Limited,"21,200.02",1695,LGBFORGE.NS
1696,Indowind Energy Limited,"21,144.95",1696,INDOWIND.NS
1697,MEP Infrastructure Developers Limited,"21,096.30",1697,MEP.NS
1698,Bodhi Tree Multimedia Limited,"21,037.02",1698,BTML.NS
1699,V Marc India Limited,"21,019.80",1699,VMARCIND.NS
1700,United Polyfab Gujarat Limited,"21,000.67",1700,UNITEDPOLY.NS
1701,R M Drip and Sprinklers Systems Limited,"20,959.81",1701,RMDRIP.NS
1702,Alphageo (India) Limited,"20,895.53",1702,ALPHAGEO.NS
1703,QMS Medical Allied Services Limited,"20,893.43",1703,QMSMEDI.NS
1704,Upsurge Seeds Of Agriculture Limited,"20,826.41",1704,USASEEDS.NS
1705,Unihealth Consultancy Limited,"20,789.94",1705,UNIHEALTH.NS
1706,Rockingdeals Circular Economy Limited,"20,680.82",1706,ROCKINGDCE.NS
1707,Esconet Technologies Limited,"20,591.76",1707,ESCONET.NS
1708,SMS Lifesciences India Limited,"20,441.96",1708,SMSLIFE.NS
1709,Vardhman Polytex Limited,"20,399.99",1709,VARDMNPOLY.NS
1710,Avonmore Capital & Management Services Limited,"20,399.04",1710,AVONMORE.NS
1711,Lagnam Spintex Limited,"20,398.86",1711,LAGNAM.NS
1712,AksharChem India Limited,"20,347.84",1712,AKSHARCHEM.NS
1713,Modern Threads (India) Limited,"20,326.08",1713,MODTHREAD.NS
1714,Srivari Spices And Foods Limited,"20,283.28",1714,SSFL.NS
1715,Indiabulls Enterprises Limited,"20,230.37",1715,IEL.NS
1716,Baheti Recycling Industries Limited,"20,063.11",1716,BAHETI.NS
1717,Zee Learn Limited,"20,054.70",1717,ZEELEARN.NS
1718,Generic Engineering Construction and Projects Limited,"20,047.69",1718,GENCON.NS
1719,Surana Telecom and Power Limited,"19,956.71",1719,SURANAT&P.NS
1720,Delaplex Limited,"19,827.92",1720,DELAPLEX.NS
1721,Aspinwall and Company Limited,"19,670.81",1721,ASPINWALL.NS
1722,Dhunseri Tea & Industries Limited,"19,559.58",1722,DTIL.NS
1723,De Neers Tools Limited,"19,450.46",1723,DENEERS.NS
1724,Kay Cee Energy & Infra Limited,"19,393.72",1724,KCEIL.NS
1725,AVP Infracon Limited,"19,358.88",1725,AVPINFRA.NS
1726,Kanpur Plastipack Limited,"19,321.96",1726,KANPRPLA.NS
1727,Chaman Metallics Limited,"19,319.88",1727,CMNL.NS
1728,Rajshree Sugars & Chemicals Limited,"19,251.79",1728,RAJSREESUG.NS
1729,KBC Global Limited,"19,197.78",1729,KBCGLOBAL.NS
1730,Electro Force (India) Limited,"19,188.00",1730,EFORCE.NS
1731,Aurangabad Distillery Limited,"19,171.60",1731,AURDIS.NS
1732,Indbank Merchant Banking Services Limited,"19,149.19",1732,INDBANK.NS
1733,Tarmat Limited,"18,969.69",1733,TARMAT.NS
1734,Interiors & More Limited,"18,628.75",1734,INM.NS
1735,Maxposure Limited,"18,613.47",1735,MAXPOSURE.NS
1736,Infollion Research Services Limited,"18,553.24",1736,INFOLLION.NS
1737,Bafna Pharmaceuticals Limited,"18,534.74",1737,BAFNAPH.NS
1738,Maha Rashtra Apex Corporation Limited,"18,501.26",1738,MAHAPEXLTD.NS
1739,E Factor Experiences Limited,"18,493.48",1739,EFACTOR.NS
1740,Varanium Cloud Limited,"18,488.32",1740,CLOUD.NS
1741,Compucom Software Limited,"18,475.73",1741,COMPUSOFT.NS
1742,DJ Mediaprint & Logistics Limited,"18,466.88",1742,DJML.NS
1743,Ducon Infratechnologies Limited,"18,455.77",1743,DUCON.NS
1744,ATLANTAA LIMITED,"18,419.00",1744,ATLANTAA.NS
1745,Pratham EPC Projects Limited,"18,381.60",1745,PRATHAM.NS
1746,Vaidya Sane Ayurved Laboratories Limited,"18,293.40",1746,MADHAVBAUG.NS
1747,Maheshwari Logistics Limited,"18,217.08",1747,MAHESHWARI.NS
1748,Shiva Texyarn Limited,"18,199.65",1748,SHIVATEX.NS
1749,Signet Industries Limited,"18,192.07",1749,SIGIND.NS
1750,Dhruv Consultancy Services Limited,"18,022.46",1750,DHRUV.NS
1751,Salasar Exteriors and Contour Limited,"18,015.96",1751,SECL.NS
1752,Nitiraj Engineers Limited,"17,780.36",1752,NITIRAJ.NS
1753,Inventure Growth & Securities Limited,"17,640.00",1753,INVENTURE.NS
1754,Atam Valves Limited,"17,636.26",1754,ATAM.NS
1755,Spectrum Talent Management Limited,"17,631.58",1755,SPECTSTM.NS
1756,Aarvi Encon Limited,"17,622.53",1756,AARVI.NS
1757,Weizmann Limited,"17,579.72",1757,WEIZMANIND.NS
1758,S.A.L. Steel Limited,"17,545.62",1758,SALSTEEL.NS
1759,Alpa Laboratories Limited,"17,516.30",1759,ALPA.NS
1760,GVP Infotech Limited,"17,507.62",1760,GVPTECH.NS
1761,Shree OSFM E-Mobility Limited,"17,469.33",1761,SHREEOSFM.NS
1762,Sona Machinery Limited,"17,443.20",1762,SONAMAC.NS
1763,Global Vectra Helicorp Limited,"17,262.00",1763,GLOBALVECT.NS
1764,Manaksia Aluminium Company Limited,"17,235.46",1764,MANAKALUCO.NS
1765,INCREDIBLE INDUSTRIES LIMITED,"17,209.06",1765,INCREDIBLE.NS
1766,BLB Limited,"17,181.21",1766,BLBLIMITED.NS
1767,Eros International Media Limited,"17,120.67",1767,EROSMEDIA.NS
1768,Supreme Infrastructure India Limited,"17,089.42",1768,SUPREMEINF.NS
1769,Smartlink Holdings Limited,"17,042.29",1769,SMARTLINK.NS
1770,Vital Chemtech Limited,"17,005.28",1770,VITAL.NS
1771,Visesh Infotecnics Limited,"16,984.96",1771,VISESHINFO.NS
1772,Cadsys (India) Limited,"16,948.15",1772,CADSYS.NS
1773,Xelpmoc Design And Tech Limited,"16,903.13",1773,XELPMOC.NS
1774,Swastik Pipe Limited,"16,819.58",1774,SWASTIK.NS
1775,Prajay Engineers Syndicate Limited,"16,819.56",1775,PRAENG.NS
1776,Mukta Arts Limited,"16,803.39",1776,MUKTAARTS.NS
1777,Parin Furniture Limited,"16,732.59",1777,PARIN.NS
1778,Viviana Power Tech Limited,"16,716.00",1778,VIVIANA.NS
1779,Umang Dairies Limited,"16,601.41",1779,UMANGDAIRY.NS
1780,BSL Limited,"16,549.81",1780,BSL.NS
1781,Mahamaya Steel Industries Limited,"16,541.22",1781,MAHASTEEL.NS
1782,Archidply Industries Limited,"16,458.15",1782,ARCHIDPLY.NS
1783,Cambridge Technology Enterprises Limited,"16,382.08",1783,CTE.NS
1784,Arshiya Limited,"16,335.51",1784,ARSHIYA.NS
1785,Aartech Solonics Limited,"16,324.68",1785,AARTECH.NS
1786,Salona Cotspin Limited,"16,308.18",1786,SALONA.NS
1787,Lovable Lingerie Limited,"16,280.00",1787,LOVABLE.NS
1788,Canarys Automations Limited,"16,265.24",1788,CANARYS.NS
1789,Baweja Studios Limited,"16,261.83",1789,BAWEJA.NS
1790,Urban Enviro Waste Management Limited,"16,194.20",1790,URBAN.NS
1791,B.A.G Films and Media Limited,"16,116.44",1791,BAGFILMS.NS
1792,Intrasoft Technologies Limited,"16,109.09",1792,ISFT.NS
1793,Kaushalya Logistics Limited,"16,093.31",1793,KLL.NS
1794,Greenchef Appliances Limited,"16,057.57",1794,GREENCHEF.NS
1795,IVP Limited,"15,964.40",1795,IVP.NS
1796,Worth Peripherals Limited,"15,892.76",1796,WORTH.NS
1797,SONAM LIMITED,"15,882.70",1797,SONAMLTD.NS
1798,Sumit Woods Limited,"15,859.38",1798,SUMIT.NS
1799,Tirupati Forge Limited,"15,827.00",1799,TIRUPATIFL.NS
1800,Emmbi Industries Limited,"15,815.08",1800,EMMBI.NS
1801,Arvee Laboratories (India) Limited,"15,802.68",1801,ARVEE.NS
1802,The United Nilgiri Tea Estates Company Limited,"15,791.65",1802,UNITEDTEA.NS
1803,Univastu India Limited,"15,791.11",1803,UNIVASTU.NS
1804,Lloyds Luxuries Limited,"15,750.00",1804,LLOYDS.NS
1805,Surana Solar Limited,"15,721.51",1805,SURANASOL.NS
1806,Somi Conveyor Beltings Limited,"15,678.72",1806,SOMICONVEY.NS
1807,Kakatiya Cement Sugar & Industries Limited,"15,625.45",1807,KAKATCEM.NS
1808,Shigan Quantum Technologies Limited,"15,579.48",1808,SHIGAN.NS
1809,Bharat Gears Limited,"15,554.67",1809,BHARATGEAR.NS
1810,On Door Concepts Limited,"15,539.33",1810,ONDOOR.NS
1811,Oil Country Tubular Limited,"15,479.19",1811,OILCOUNTUB.NS
1812,SPL Industries Limited,"15,457.00",1812,SPLIL.NS
1813,Capital Trust Limited,"15,445.18",1813,CAPTRUST.NS
1814,Fidel Softech Limited,"15,407.50",1814,FIDEL.NS
1815,Marvel Decor Limited,"15,336.13",1815,MDL.NS
1816,3rd Rock Multimedia Limited,"15,316.15",1816,3RDROCK.NS
1817,Veekayem Fashion and Apparels Limited,"15,312.15",1817,VEEKAYEM.NS
1818,Dynamic Services & Security Limited,"15,292.64",1818,DYNAMIC.NS
1819,Gillanders Arbuthnot & Company Limited,"15,185.08",1819,GILLANDERS.NS
1820,Century Extrusions Limited,"15,160.00",1820,CENTEXT.NS
1821,Shri Techtex Limited,"15,144.65",1821,SHRITECH.NS
1822,Total Transport Systems Limited,"15,143.23",1822,TOTAL.NS
1823,MITCON Consultancy & Engineering Services Limited,"15,113.24",1823,MITCON.NS
1824,Arham Technologies Limited,"15,101.10",1824,ARHAM.NS
1825,Touchwood Entertainment Limited,"15,037.25",1825,TOUCHWOOD.NS
1826,Jocil Limited,"15,013.58",1826,JOCIL.NS
1827,Vaishali Pharma Limited,"15,012.26",1827,VAISHALI.NS
1828,Future Consumer Limited,"14,977.76",1828,FCONSUMER.NS
1829,Digidrive Distributors Limited,"14,962.02",1829,DIGIDRIVE.NS
1830,Kundan Edifice Limited,"14,961.17",1830,KEL.NS
1831,Coral India Finance & Housing Limited,"14,911.82",1831,CORALFINAC.NS
1832,Accuracy Shipping Limited,"14,905.44",1832,ACCURACY.NS
1833,Kalyani Forge Limited,"14,850.32",1833,KALYANIFRG.NS
1834,Niraj Cement Structurals Limited,"14,837.38",1834,NIRAJ.NS
1835,Srivasavi Adhesive Tapes Limited,"14,812.00",1835,SRIVASAVI.NS
1836,Integrated Personnel Services Limited,"14,755.33",1836,IPSL.NS
1837,GTL Limited,"14,707.25",1837,GTL.NS
1838,Reliance Chemotex Industries Limited,"14,638.28",1838,RELCHEMQ.NS
1839,Indian Card Clothing Company Limited,"14,609.21",1839,INDIANCARD.NS
1840,Mangalam Drugs And Organics Limited,"14,577.82",1840,MANGALAM.NS
1841,Palred Technologies Limited,"14,544.52",1841,PALREDTEC.NS
1842,Standard Industries Limited,"14,538.34",1842,SIL.NS
1843,Le Merite Exports Limited,"14,464.30",1843,LEMERITE.NS
1844,Bal Pharma Limited,"14,413.59",1844,BALPHARMA.NS
1845,Kohinoor Foods Limited,"14,365.22",1845,KOHINOOR.NS
1846,Akanksha Power and Infrastructure Limited,"14,342.59",1846,AKANKSHA.NS
1847,Reliance Home Finance Limited,"14,294.39",1847,RHFL.NS
1848,Lambodhara Textiles Limited,"14,248.44",1848,LAMBODHARA.NS
1849,Cubex Tubings Limited,"14,218.74",1849,CUBEXTUB.NS
1850,Goldkart Jewels Limited,"14,217.19",1850,GOLDKART.NS
1851,Ahlada Engineers Limited,"14,142.03",1851,AHLADA.NS
1852,Beardsell Limited,"14,019.85",1852,BEARDSELL.NS
1853,IL&FS Transportation Networks Limited,"13,980.80",1853,IL&FSTRANS.NS
1854,Hindprakash Industries Limited,"13,931.82",1854,HPIL.NS
1855,Pansari Developers Limited,"13,922.55",1855,PANSARI.NS
1856,Amj Land Holdings Limited,"13,878.50",1856,AMJLAND.NS
1857,Noida Toll Bridge Company Limited,"13,871.53",1857,NOIDATOLL.NS
1858,DB (International) Stock Brokers Limited,"13,825.00",1858,DBSTOCKBRO.NS
1859,Homesfy Realty Limited,"13,748.40",1859,HOMESFY.NS
1860,S&S Power Switchgears Limited,"13,714.40",1860,S&SPOWER.NS
1861,Gayatri Rubbers And Chemicals Limited,"13,662.18",1861,GRCL.NS
1862,Pulz Electronics Limited,"13,630.00",1862,PULZ.NS
1863,AKI India Limited,"13,453.03",1863,AKI.NS
1864,Agri-Tech (India) Limited,"13,448.16",1864,AGRITECH.NS
1865,DCM  Limited,"13,447.98",1865,DCM.NS
1866,Prakash Steelage Limited,"13,387.53",1866,PRAKASHSTL.NS
1867,Sotac Pharmaceuticals Limited,"13,370.50",1867,SOTAC.NS
1868,Shradha Infraprojects Limited,"13,303.85",1868,SHRADHA.NS
1869,Madhusudan Masala Limited,"13,287.00",1869,MADHUSUDAN.NS
1870,Jainam Ferro Alloys (I) Limited,"13,285.99",1870,JAINAM.NS
1871,Fonebox Retail Limited,"13,271.31",1871,FONEBOX.NS
1872,Sundaram Multi Pap Limited,"13,268.58",1872,SUNDARAM.NS
1873,MRO-TEK Realty Limited,"13,266.07",1873,MRO-TEK.NS
1874,Krebs Biochemicals and Industries Limited,"13,248.98",1874,KREBSBIO.NS
1875,Khfm Hospitality And Facility Management Services Limited,"13,227.39",1875,KHFM.NS
1876,Pashupati Cotspin Limited,"13,174.81",1876,PASHUPATI.NS
1877,Ducol Organics And Colours Limited,"13,100.54",1877,DUCOL.NS
1878,Aksh Optifibre Limited,"13,097.19",1878,AKSHOPTFBR.NS
1879,The Western India Plywoods Limited,"12,985.63",1879,WIPL.NS
1880,Patel Integrated Logistics Limited,"12,949.44",1880,PATINTLOG.NS
1881,IBL Finance Limited,"12,859.94",1881,IBLFL.NS
1882,V R Infraspace Limited,"12,756.12",1882,VR.NS
1883,Globe International Carriers Limited,"12,708.95",1883,GICL.NS
1884,JHS Svendgaard Laboratories Limited,"12,661.08",1884,JHS.NS
1885,Flexituff Ventures International Limited,"12,567.71",1885,FLEXITUFF.NS
1886,Ausom Enterprise Limited,"12,547.29",1886,AUSOMENT.NS
1887,Dangee Dums Limited,"12,471.98",1887,DANGEE.NS
1888,Digicontent Limited,"12,452.03",1888,DGCONTENT.NS
1889,Art Nirman Limited,"12,428.09",1889,ARTNIRMAN.NS
1890,Shah Metacorp Limited,"12,362.82",1890,SHAH.NS
1891,SECUREKLOUD TECHNOLOGIES LIMITED,"12,361.92",1891,SECURKLOUD.NS
1892,Suryalakshmi Cotton Mills Limited,"12,289.26",1892,SURYALAXMI.NS
1893,Barak Valley Cements Limited,"12,143.68",1893,BVCL.NS
1894,Goyal Aluminiums Limited,"12,132.29",1894,GOYALALUM.NS
1895,Transteel Seating Technologies Limited,"12,117.20",1895,TRANSTEEL.NS
1896,Bhandari Hosiery Exports Limited,"12,094.42",1896,BHANDARI.NS
