Sr. No.,Company Name,"Market capitalization as on March 28, 2024(In lakhs)",Rank,Symbol
1112,Manoj Vaibhav Gems N Jewellers Limited,"1,22,924.59",1112,MVGJL.NS
1113,OM INFRA LIMITED,"1,22,739.20",1113,OMINFRAL.NS
1114,Zota Health Care LImited,"1,22,645.57",1114,ZOTA.NS
1115,Snowman Logistics Limited,"1,22,475.50",1115,SNOWMAN.NS
1116,Raj Rayon Industries Limited,"1,22,060.11",1116,RAJRILTD.NS
1117,Punjab Chemicals & Crop Protection Limited,"1,21,751.23",1117,PUNJABCHEM.NS
1118,Kitex Garments Limited,"1,20,996.75",1118,KITEX.NS
1119,Texmaco Infrastructure & Holdings Limited,"1,20,927.83",1119,TEXINFRA.NS
1120,India Motor Parts and Accessories Limited,"1,20,906.24",1120,IMPAL.NS
1121,Himatsingka Seide Limited,"1,20,314.65",1121,HIMATSEIDE.NS
1122,Dolat Algotech Limited,"1,20,120.00",1122,DOLATALGO.NS
1123,Mangalore Chemicals & Fertilizers Limited,"1,20,115.10",1123,MANGCHEFER.NS
1124,Agarwal Industrial Corporation Limited,"1,19,722.14",1124,AGARIND.NS
1125,Repro India Limited,"1,19,289.42",1125,REPRO.NS
1126,Dolphin Offshore Enterprises (India) Limited,"1,19,073.63",1126,DOLPHIN.NS
1127,Uttam Sugar Mills Limited,"1,19,010.00",1127,UTTAMSUGAR.NS
1128,Centrum Capital Limited,"1,18,777.35",1128,CENTRUM.NS
1129,Hester Biosciences Limited,"1,18,623.98",1129,HESTERBIO.NS
1130,Beta Drugs Limited,"1,18,610.13",1130,BETA.NS
1131,Marine Electricals (India) Limited,"1,18,311.06",1131,MARINE.NS
1132,Bliss GVS Pharma Limited,"1,18,143.59",1132,BLISSGVS.NS
