Symbol,NSE Symbol,Company Name,ISIN,SERIES
ANANDRATHI.NS,ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,EQ
ANANTRAJ.NS,ANANTRAJ,Anant Raj Limited,INE242C01024,EQ
ANDHRAPAP.NS,ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051,EQ
ANDHRSUGAR.NS,ANDHRSUGAR,The Andhra Sugars Limited,INE715B01021,EQ
ANGELONE.NS,ANGELONE,Angel One Limited,INE732I01021,EQ
ANMOL.NS,ANMOL,Anmol India Limited,INE02AR01019,EQ
ANTELOPUS.NS,ANTELOPUS,Antelopus Selan Energy Limited,INE818A01017,EQ
ANTGRAPHIC.NS,ANTGRAPHIC,Antarctica Limited,INE414B01021,EQ
ANTHEM.NS,ANTHEM,Anthem Biosciences Limited,INE0CZ201020,EQ
ANUHPHR.NS,ANUHPHR,Anuh Pharma Limited,INE489G01022,EQ
ANUP.NS,ANUP,The Anup Engineering Limited,INE294Z01018,EQ
ANURAS.NS,ANURAS,Anupam Rasayan India Limited,INE930P01018,EQ
APARINDS.NS,APARINDS,Apar Industries Limited,INE372A01015,EQ
APCL.NS,APCL,Anjani Portland Cement Limited,INE071F01012,EQ
APCOTEXIND.NS,APCOTEXIND,Apcotex Industries Limited,INE116A01032,EQ
APEX.NS,APEX,Apex Frozen Foods Limited,INE346W01013,EQ
APLAPOLLO.NS,APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,EQ
APLLTD.NS,APLLTD,Alembic Pharmaceuticals Limited,INE901L01018,EQ
APOLLO.NS,APOLLO,Apollo Micro Systems Limited,INE713T01028,EQ
APOLLOHOSP.NS,APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,EQ
APOLLOPIPE.NS,APOLLOPIPE,Apollo Pipes Limited,INE126J01016,EQ
APOLLOTYRE.NS,APOLLOTYRE,Apollo Tyres Limited,INE438A01022,EQ
APOLSINHOT.NS,APOLSINHOT,Apollo Sindoori Hotels Limited,INE451F01024,EQ
APTUS.NS,APTUS,Aptus Value Housing Finance India Limited,INE852O01025,EQ
AQYLON.NS,AQYLON,Aqylon Nexus Limited,INE416A01051,EQ
ARCHIDPLY.NS,ARCHIDPLY,Archidply Industries Limited,INE877I01016,EQ
ARCHIES.NS,ARCHIES,Archies Limited,INE731A01020,EQ
ARE&M.NS,ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,EQ
ARENTERP.NS,ARENTERP,Rajdarshan Industries Limited,INE610C01014,EQ
ARFIN.NS,ARFIN,Arfin India Limited,INE784R01023,EQ
