Symbol,NSE Symbol,Company Name,ISIN,SERIES,Market Cap,Market Cap Rank
GROWW.NS,GROWW,Billionbrains Garage Ventures Limited,INE0HOQ01053,EQ,1289705488384.0,78
UNIONBANK.NS,UNIONBANK,Union Bank of India,INE692A01016,EQ,1285957222400.0,79
BANKBARODA.NS,BANKBARODA,Bank of Baroda,INE028A01039,EQ,1276292235264.0,80
APOLLOHOSP.NS,APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,EQ,1269043429376.0,81
TMPV.NS,TMPV,Tata Motors Passenger Vehicles Limited,INE155A01022,EQ,1235874742272.0,82
HDFCLIFE.NS,HDFCLIFE,HDFC Life Insurance Company Limited,INE795G01014,EQ,1224211300352.0,83
PNB.NS,PNB,Punjab National Bank,INE160A01022,EQ,1215608520704.0,84
LTM.NS,LTM,LTM Limited,INE214T01019,EQ,1208257347584.0,85
ENRIN.NS,ENRIN,Siemens Energy India Limited,INE1NPP01017,EQ,1205646000128.0,86
TATAPOWER.NS,TATAPOWER,Tata Power Company Limited,INE245A01021,EQ,1205441789952.0,87
BOSCHLTD.NS,BOSCHLTD,Bosch Limited,INE323A01026,EQ,1205063122944.0,88
MUTHOOTFIN.NS,MUTHOOTFIN,Muthoot Finance Limited,INE414G01012,EQ,1200189997056.0,89
LODHA.NS,LODHA,Lodha Developers Limited,INE670K01029,EQ,1187460415488.0,90
GMRAIRPORT.NS,GMRAIRPORT,GMR AIRPORTS LIMITED,INE776C01039,EQ,1167189213184.0,91
BAJAJHLDNG.NS,BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,EQ,1157229969408.0,92
IRFC.NS,IRFC,Indian Railway Finance Corporation Limited,INE053F01010,EQ,1155386703872.0,93
CIPLA.NS,CIPLA,Cipla Limited,INE059A01026,EQ,1146090160128.0,94
ZYDUSLIFE.NS,ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027,EQ,1140845051904.0,95
HDFCAMC.NS,HDFCAMC,HDFC Asset Management Company Limited,INE127D01025,EQ,1136445489152.0,96
CANBK.NS,CANBK,Canara Bank,INE476A01022,EQ,1133922091008.0,97
GAIL.NS,GAIL,GAIL (India) Limited,INE129A01019,EQ,1125653544960.0,98
GVT&D.NS,GVT&D,GE Vernova T&D India Limited,INE200A01026,EQ,1123378528256.0,99
INDIANB.NS,INDIANB,Indian Bank,INE562A01011,EQ,1121212825600.0,100
LUPIN.NS,LUPIN,Lupin Limited,INE326A01037,EQ,1117116301312.0,101
ABCAPITAL.NS,ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,EQ,1098567057408.0,102
GODREJCP.NS,GODREJCP,Godrej Consumer Products Limited,INE102D01028,EQ,1096880619520.0,103
MARICO.NS,MARICO,Marico Limited,INE196A01026,EQ,1093726961664.0,104
