symbol,error_type,reason,failed_at
DECNGOLD.NS,ScreenerDataError,Screener returned no historical P/E observations for DECNGOLD.NS,2026-08-02T00:03:28.174756+00:00
DELTAMAGNT.NS,ScreenerDataError,Screener returned no historical P/E observations for DELTAMAGNT.NS,2026-08-01T23:58:55.063848+00:00
DENORA.NS,ScreenerDataError,Screener returned no historical P/E observations for DENORA.NS,2026-08-01T23:46:04.697722+00:00
DHANBANK.NS,ScreenerDataError,Screener returned no historical P/E observations for DHANBANK.NS,2026-08-01T23:34:28.263892+00:00
DICIND.NS,ScreenerDataError,Screener returned no historical P/E observations for DICIND.NS,2026-08-01T23:45:56.931429+00:00
DIGJAMLMTD.NS,ScreenerDataError,Screener returned no historical P/E observations for DIGJAMLMTD.NS,2026-08-01T23:57:50.620630+00:00
DIVGIITTS.NS,ScreenerDataError,Screener returned no historical P/E observations for DIVGIITTS.NS,2026-08-01T23:24:05.121702+00:00
DNAMEDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for DNAMEDIA.NS,2026-08-02T00:00:57.600895+00:00
DRAGARWQ.NS,ScreenerDataError,Screener returned no historical P/E observations for DRAGARWQ.NS,2026-08-02T00:03:32.135461+00:00
DREDGECORP.NS,ScreenerDataError,Screener returned no historical P/E observations for DREDGECORP.NS,2026-08-01T23:23:58.538980+00:00
DWARKESH.NS,ScreenerDataError,Screener returned no historical P/E observations for DWARKESH.NS,2026-08-01T23:40:22.601589+00:00
DYCL.NS,ScreenerDataError,Screener returned no historical P/E observations for DYCL.NS,2026-08-01T23:30:03.879578+00:00
E2E.NS,ScreenerDataError,Screener returned no historical P/E observations for E2E.NS,2026-08-01T23:08:19.017111+00:00
EIHAHOTELS.NS,ScreenerDataError,Screener returned no historical P/E observations for EIHAHOTELS.NS,2026-08-01T23:29:20.064690+00:00
ELANTAS.NS,ScreenerDataError,Screener returned no historical P/E observations for ELANTAS.NS,2026-08-01T23:10:02.900864+00:00
ELLEN.NS,ScreenerDataError,Screener returned no historical P/E observations for ELLEN.NS,2026-08-01T23:18:04.291996+00:00
EMAMIPAP.NS,ScreenerDataError,Screener returned no historical P/E observations for EMAMIPAP.NS,2026-08-01T23:44:23.425328+00:00
ENRIN.NS,ScreenerDataError,Screener returned no historical P/E observations for ENRIN.NS,2026-08-01T22:46:58.668664+00:00
EQUITASBNK.NS,ScreenerDataError,Screener returned no historical P/E observations for EQUITASBNK.NS,2026-08-01T23:07:40.451834+00:00
ESABINDIA.NS,ScreenerDataError,Screener returned no historical P/E observations for ESABINDIA.NS,2026-08-01T23:08:04.280400+00:00
ESAFSFB.NS,ScreenerDataError,Screener returned no historical P/E observations for ESAFSFB.NS,2026-08-01T23:30:14.681888+00:00
FEDFINA.NS,ScreenerDataError,Screener returned no historical P/E observations for FEDFINA.NS,2026-08-01T23:13:02.298855+00:00
FINOPB.NS,ScreenerDataError,Screener returned no historical P/E observations for FINOPB.NS,2026-08-01T23:33:03.153588+00:00
FIRSTCRY.NS,ScreenerDataError,Screener returned no historical P/E observations for FIRSTCRY.NS,2026-08-01T23:06:03.170667+00:00
FIVESTAR.NS,ScreenerDataError,Screener returned no historical P/E observations for FIVESTAR.NS,2026-08-01T23:00:06.641055+00:00
FRONTSP.NS,ScreenerDataError,Screener returned no historical P/E observations for FRONTSP.NS,2026-08-02T00:03:45.353949+00:00
FUSION.NS,ScreenerDataError,Screener returned no historical P/E observations for FUSION.NS,2026-08-01T23:19:40.860174+00:00
GANDHITUBE.NS,ScreenerDataError,Screener returned no historical P/E observations for GANDHITUBE.NS,2026-08-01T23:37:44.685324+00:00
GANESHCP.NS,ScreenerDataError,Screener returned no historical P/E observations for GANESHCP.NS,2026-08-01T23:42:13.131766+00:00
GEEKAYWIRE.NS,ScreenerDataError,Screener returned no historical P/E observations for GEEKAYWIRE.NS,2026-08-01T23:51:03.960622+00:00
GHCLTEXTIL.NS,ScreenerDataError,Screener returned no historical P/E observations for GHCLTEXTIL.NS,2026-08-01T23:37:11.182728+00:00
GILLETTE.NS,ScreenerDataError,Screener returned no historical P/E observations for GILLETTE.NS,2026-08-01T22:56:06.116147+00:00
GLOBALVECT.NS,ScreenerDataError,Screener returned no historical P/E observations for GLOBALVECT.NS,2026-08-01T23:52:09.138721+00:00
