symbol,screener_company_id,statement_type,financial_reporting_date,pe_average_3y,pe_median_3y,pe_average_5y,pe_median_5y,pe_average_10y,pe_median_10y,sales_growth_3y,sales_growth_5y,sales_growth_10y,profit_growth_3y,profit_growth_5y,profit_growth_10y,eps_growth_3y,eps_growth_5y,eps_growth_10y,debt_to_equity,roe,opm,source_url,refreshed_at
CLEAN.NS,1274890,consolidated,2026-03-31,49.9662,52.2,61.7429,56.9,62.2173,57.1,1.0,3.0,,-8.0,-11.0,,-8.0311318245061,2.9569287741129324,,0.0012626262626262,15.3,36.0,https://www.screener.in/company/CLEAN/consolidated/,2026-08-23T18:06:55.829859+00:00
CLEANMAX.NS,1285900,consolidated,2026-03-31,115.2282,96.0,115.2282,96.0,115.2282,96.0,27.0,19.0,,-8.0,,,,-52.547650765169074,,2.734209959042897,1.76,55.0,https://www.screener.in/company/CLEANMAX/consolidated/,2026-08-23T18:06:55.829859+00:00
CMPDI.NS,1285929,consolidated,2025-03-31,0.075,0.1,0.075,0.1,0.075,0.1,,,,,,,,,,0.0004897159647404,32.7,40.0,https://www.screener.in/company/CMPDI/consolidated/,2026-08-23T18:06:55.829859+00:00
CMRGREEN.NS,1285999,consolidated,2026-03-31,26.6189,23.2,26.6189,23.2,26.6189,23.2,14.0,21.0,,27.0,,,27.138352248788223,-55.40755543500002,,0.9308093994778068,14.6,5.0,https://www.screener.in/company/CMRGREEN/consolidated/,2026-08-23T18:06:55.829859+00:00
CMSINFO.NS,1275144,consolidated,2026-03-31,19.0,18.5,18.9905,18.5,18.9905,18.5,9.0,13.0,,2.0,,,-1.4405660758754046,10.103296564899944,,0.0908343608713522,13.2,24.0,https://www.screener.in/company/CMSINFO/consolidated/,2026-08-23T18:06:55.829859+00:00
CNL.NS,1274053,consolidated,2026-03-31,21.5734,20.6,24.8779,23.35,22.5921,21.6,25.0,49.0,,42.0,38.0,,33.85038024127307,41.575388215155165,,0.8901098901098901,21.4,3.7,https://www.screener.in/company/CNL/consolidated/,2026-08-23T18:06:55.829859+00:00
COALINDIA.NS,681,consolidated,2026-03-31,7.5268,7.5,6.9766,7.1,9.7368,7.3,7.0,20.0,8.0,-1.0,24.0,2.0,-0.7034230503329852,19.611751771707414,8.368509849756766,0.1181508287014491,28.2,26.0,https://www.screener.in/company/COALINDIA/consolidated/,2026-08-23T18:06:55.829859+00:00
COASTCORP.NS,532263,consolidated,2026-03-31,112.4093,75.55,73.159,51.5,40.5774,17.5,40.0,8.0,15.0,59.0,-4.0,,59.00689579156173,6.100705626786751,13.12081053684764,1.6996466431095407,9.77,6.0,https://www.screener.in/company/COASTCORP/consolidated/,2026-08-23T18:06:55.829859+00:00
COCHINSHIP.NS,1274120,consolidated,2026-03-31,53.6369,52.9,37.1188,44.0,26.7877,13.1,29.0,4.0,,40.0,53.0,,32.99424487915958,3.3252093984389663,,0.2846926613315171,12.5,15.0,https://www.screener.in/company/COCHINSHIP/consolidated/,2026-08-23T18:06:55.829859+00:00
COFORGE.NS,2262,consolidated,2026-03-31,50.6089,51.8,47.0521,45.7,34.722,32.0,27.0,29.0,20.0,33.0,14.0,37.0,26.80936399869789,25.234184704693675,18.029389199680423,0.0763342770263185,21.4,19.0,https://www.screener.in/company/COFORGE/consolidated/,2026-08-23T18:06:55.829859+00:00
