symbol,company_name,market_cap,pe,forward_pe,eps,sector,industry,revenue_growth,earnings_growth
INDUSTOWER.NS,Indus Towers Limited,1064106131456.0,14.9058,12.966151,27.07,,,,
MAXHEALTH.NS,Max Healthcare Institute Limited,1060738433024.0,74.09245,44.880093,14.71,,,,
LLOYDSME.NS,Lloyds Metals and Energy Limited,1049619791872.0,27.854263,12.308538,66.97,,,,
BHARATFORG.NS,Bharat Forge Limited,1047253155840.0,97.096634,44.509403,22.56,,,,
JINDALSTEL.NS,Jindal Steel Limited,1042925355008.0,30.957415,10.934812,33.11,,,,
INDHOTEL.NS,The Indian Hotels Company Limited,1036116295680.0,49.753933,39.521164,14.63,,,,
MANKIND.NS,Mankind Pharma Limited,1025964572672.0,53.758926,34.86055,46.21,,,,
OFSS.NS,Oracle Financial Services Software Limited,1024926089216.0,38.91111,30.701618,302.51,,,,
DRREDDY.NS,Dr. Reddy's Laboratories Limited,1008578592768.0,23.527582,18.996094,51.48,,,,
JSWENERGY.NS,JSW Energy Limited,991685050368.0,42.54717,29.903492,12.72,,,,
VEDL.NS,Vedanta Limited,988110127104.0,14.1053505,8.676517,17.94,,,,
HEROMOTOCO.NS,Hero MotoCorp Limited,982436347904.0,17.123178,15.497563,286.74,,,,
UNITDSPR.NS,UNITED SPIRITS LIMITED,976894296064.0,57.134552,44.93296,24.08,,,,
SHREECEM.NS,Shree Cement Limited,956681027584.0,54.945396,37.28116,482.57,,,,
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,945038688256.0,36.629143,28.752348,63.96,,,,
IDBI.NS,IDBI Bank Limited,935674052608.0,10.154026,17.759182,8.57,,,,
RECLTD.NS,REC Limited,935057817600.0,5.744096,5.115179,61.82,,,,
LENSKART.NS,LENSKART SOLUTIONS LTD,930129641472.0,185.24138,83.81937,2.9,,,,
NYKAA.NS,FSN E-Commerce Ventures Limited,925178855424.0,455.0,117.25825,0.71,,,,
ASHOKLEY.NS,Ashok Leyland Limited,911798435840.0,26.265652,19.160414,5.91,,,,
AUROPHARMA.NS,Aurobindo Pharma Limited,882284494848.0,25.379015,17.042776,60.42,,,,
DIXON.NS,Dixon Technologies (India) Limited,871230341120.0,53.19054,52.610577,269.39,,,,
MEESHO.NS,MEESHO LIMITED,868356128768.0,,111.69374,-3.12,,,,
PAYTM.NS,One97 Communications Limited,863642648576.0,158.77504,43.29765,8.49,,,,
FEDERALBNK.NS,The Federal Bank Limited,860987850752.0,18.653128,14.591728,18.71,,,,
SRF.NS,SRF Limited,852078362624.0,46.508656,32.346893,61.81,,,,
HINDPETRO.NS,Hindustan Petroleum Corporation Limited,851980124160.0,4.721698,7.1985955,84.8,,,,
LAURUSLABS.NS,Laurus Labs Limited,826473840640.0,92.602905,63.825947,16.52,,,,
WAAREEENER.NS,WAAREE ENERGIES LIMITED,817131094016.0,22.026052,16.273884,128.97,,,,
PERSISTENT.NS,Persistent Systems Limited,809886089216.0,43.668602,29.681383,118.71,,,,
ICICIGI.NS,ICICI Lombard General Insurance Company Limited,805032493056.0,33.330578,22.906292,48.37,,,,
BHARTIHEXA.NS,BHARTI HEXACOM LIMITED,802750005248.0,46.294693,25.248875,34.68,,,,
INDUSINDBK.NS,IndusInd Bank Limited,800325107712.0,90.10526,13.986495,11.4,,,,
NHPC.NS,NHPC Limited,795566669824.0,28.592056,12.374999,2.77,,,,
JSWINFRA.NS,JSW Infrastructure Limited,792132583424.0,46.934155,30.560757,7.29,,,,
ATGL.NS,Adani Total Gas Limited,777125756928.0,118.95622,,5.94,,,,
LTF.NS,L&T Finance Limited,776879931392.0,24.45189,15.863854,12.68,,,,
NTPCGREEN.NS,NTPC GREEN ENERGY LIMITED,774969556992.0,148.33871,35.295563,0.62,,,,
AUBANK.NS,AU Small Finance Bank Limited,770959212544.0,29.409077,17.011389,35.03,,,,
NAUKRI.NS,Info Edge (India) Limited,769026228224.0,53.192204,50.581112,22.32,,,,
NAM-INDIA.NS,Nippon Life India Asset Management Limited,758524542976.0,50.254128,35.40765,23.61,,,,
DABUR.NS,Dabur India Limited,757832482816.0,40.0,32.45599,10.68,,,,
HAVELLS.NS,Havells India Limited,745104015360.0,45.665386,35.453136,26.0,,,,
PHOENIXLTD.NS,The Phoenix Mills Limited,742426279936.0,59.173317,39.751633,35.08,,,,
YESBANK.NS,Yes Bank Limited,741054808064.0,21.080359,13.142807,1.12,,,,
NMDC.NS,NMDC Limited,731655045120.0,9.825266,8.120063,8.47,,,,
PRESTIGE.NS,Prestige Estates Projects Limited,729226280960.0,60.96507,30.143301,27.77,,,,
POLICYBZR.NS,PB Fintech Limited,727254106112.0,108.70166,46.645714,14.48,,,,
SWIGGY.NS,SWIGGY LIMITED,721538318336.0,,-121.19872,-16.86,,,,
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited,720744415232.0,42.747204,34.76204,11.63,,,,
BAJAJHFL.NS,BAJAJ HOUSING FINANCE LTD,719096643584.0,28.123777,19.558008,3.07,,,,
FORTIS.NS,Fortis Healthcare Limited,719059877888.0,68.96814,40.781,13.81,,,,
SUZLON.NS,Suzlon Energy Limited,714548379648.0,22.506495,22.368507,2.31,,,,
ASTERDM.NS,Aster DM Quality Care Limited,713715417088.0,108.74006,44.056957,7.54,,,,
BIOCON.NS,Biocon Limited,711890042880.0,153.94366,37.43471,2.84,,,,
OIL.NS,Oil India Limited,708143677440.0,10.6939335,7.472858,40.71,,,,
TORNTPOWER.NS,Torrent Power Limited,700677881856.0,28.986866,27.264706,47.97,,,,
MCX.NS,Multi Commodity Exchange of India Limited,699277508608.0,52.634098,33.555138,52.2,,,,
IDFCFIRSTB.NS,IDFC First Bank Limited,692368179200.0,42.73936,12.519379,1.88,,,,
OBEROIRLTY.NS,Oberoi Realty Limited,688953556992.0,26.178505,17.719051,72.38,,,,
SAIL.NS,Steel Authority of India Limited,673440792576.0,19.955935,10.578969,8.17,,,,
COFORGE.NS,Coforge Limited,667754823680.0,34.367737,22.078661,43.89,,,,
UNOMINDA.NS,Uno Minda Limited,666859143168.0,55.545937,37.2239,20.79,,,,
ALKEM.NS,Alkem Laboratories Limited,665140068352.0,28.901705,24.592817,192.48,,,,
IOB.NS,Indian Overseas Bank,651835539456.0,12.537036,37.61111,2.7,,,,
BANKINDIA.NS,Bank of India Limited,651805392896.0,6.020605,5.59531,23.78,,,,
SCHAEFFLER.NS,Schaeffler India Limited,648050638848.0,53.477367,41.156445,77.53,,,,
GICRE.NS,General Insurance Corporation of India,635092795392.0,6.5698733,5.593427,55.1,,,,
GODREJPROP.NS,Godrej Properties Limited,633207128064.0,34.247314,20.788113,61.38,,,,
GLENMARK.NS,Glenmark Pharmaceuticals Limited,630859890688.0,46.29323,22.744553,48.29,,,,
NATIONALUM.NS,National Aluminium Company Limited,624271163392.0,10.161434,9.164195,33.45,,,,
SBICARD.NS,SBI Cards and Payment Services Limited,623022047232.0,28.740122,18.064034,22.78,,,,
MAHABANK.NS,Bank of Maharashtra,614555254784.0,8.161389,,9.79,,,,
JSL.NS,Jindal Stainless Limited,607662964736.0,19.047003,14.302018,38.72,,,,
HDBFS.NS,HDB FINANCIAL SERVICES L,606842978304.0,21.878735,15.560957,33.48,,,,
LINDEINDIA.NS,Linde India Limited,606754635776.0,111.111984,81.9171,64.03,,,,
COROMANDEL.NS,Coromandel International Limited,599094525952.0,30.674006,20.184052,66.32,,,,
ABBOTINDIA.NS,Abbott India Limited,596149141504.0,38.46154,31.040537,729.43,,,,
KALYANKJIL.NS,Kalyan Jewellers India Limited,593205985280.0,44.04908,30.336832,13.04,,,,
MOTILALOFS.NS,Motilal Oswal Financial Services Limited,582336053248.0,31.749836,16.14533,30.46,,,,
BERGEPAINT.NS,Berger Paints India Limited,575655575552.0,51.002068,38.949123,9.68,,,,
RBLBANK.NS,RBL Bank Limited,570024263680.0,30.396368,18.98789,12.11,,,,
TIINDIA.NS,Tube Investments of India Limited,559141486592.0,87.719406,38.03292,32.93,,,,
APARINDS.NS,APAR Industries Limited,555850727424.0,57.142857,37.88846,242.13,,,,
COLPAL.NS,Colgate-Palmolive (India) Limited,555503452160.0,41.843884,34.698193,48.81,,,,
MRF.NS,MRF Limited,554296213504.0,22.831055,15.848964,5724.44,,,,
RADICO.NS,Radico Khaitan Limited,549046452224.0,90.90283,56.691082,45.08,,,,
FACT.NS,The Fertilisers and Chemicals Travancore Limited,539399192576.0,,,-0.58,,,,
